customer_id,customer_name,email,phone,area,city,signup_date,gender,customer_type
CUST0001,Vinaya Khurana,wshere@example.org,9.10521E+11,Indiranagar,Bangalore,11-05-2024,Male,Regular
CUST0002,Wriddhish Krish,krishasamra@example.net,288192806,HSR Layout,Bangalore,10-07-2023,Male,Regular
CUST0003,Onkar Bal,xiti59@example.org,9.18216E+11,Hebbal,Bangalore,09-06-2024,Other,Regular
CUST0004,Chandani Pingle,karaliam@example.com,4011752837,Koramangala,Bangalore,24-11-2023,Male,Regular
CUST0005,Amrita Patla,harita23@example.net,9966274843,Yelahanka,Bangalore,30-06-2023,Other,Regular
CUST0006,Chakradev Sankaran,walionkar@example.com,7084045507,Hebbal,Bangalore,04-06-2023,Other,Regular
CUST0007,Rachit Bakshi,zayan28@example.org,9.17471E+11,HSR Layout,Bangalore,22-11-2023,Female,Regular
CUST0008,Keya Issac,ozarohan@example.org,4660628221,Koramangala,Bangalore,20-09-2024,Male,Regular
CUST0009,Balendra Balakrishnan,upma25@example.com,741361235,Jayanagar,Bangalore,22-09-2023,Male,Regular
CUST0010,Harsh Aggarwal,charita81@example.com,9.14475E+11,Marathahalli,Bangalore,16-08-2024,Male,Regular
CUST0011,Pahal Kumar,pallavi10@example.com,9.19802E+11,Marathahalli,Bangalore,17-03-2023,Female,Regular
CUST0012,Neha Sastry,kotamatthew@example.net,2541079072,Koramangala,Bangalore,18-09-2024,Other,Regular
CUST0013,Odika Mani,ucchalgarg@example.org,9.141E+11,BTM Layout,Bangalore,07-04-2023,Male,Regular
CUST0014,Yachana Dutt,maanav76@example.com,8551237136,Malleshwaram,Bangalore,06-10-2024,Other,Premium
CUST0015,Anmol Khatri,talwarjhalak@example.com,2002014365,Rajajinagar,Bangalore,08-10-2023,Male,Regular
CUST0016,Arunima Mandal,tarak45@example.org,6997135381,Malleshwaram,Bangalore,05-02-2023,Male,Premium
CUST0017,Ucchal Rao,sureshekapad@example.com,6956496266,HSR Layout,Bangalore,03-03-2023,Male,Regular
CUST0018,Bhavika Nori,ynarang@example.org,2004942076,Malleshwaram,Bangalore,19-12-2023,Female,Regular
CUST0019,Jagrati Kala,chaitanyathaman@example.com,2223344980,HSR Layout,Bangalore,03-10-2023,Other,Regular
CUST0020,Madhavi Sharma,karan13@example.org,9.10754E+11,Malleshwaram,Bangalore,14-06-2024,Male,Regular
CUST0021,Hiral Mani,tanish99@example.com,1575574569,Yelahanka,Bangalore,13-05-2023,Other,Regular
CUST0022,Hritik Dixit,kulkarnigautami@example.net,5742733199,BTM Layout,Bangalore,26-12-2023,Female,Premium
CUST0023,Harinakshi Sani,tristanvasa@example.org,9.18614E+11,Hebbal,Bangalore,12-05-2024,Other,Regular
CUST0024,Warinder Bir,prakashtanay@example.com,7745100190,Koramangala,Bangalore,09-09-2023,Male,Premium
